deployment_id,receiver_reference_type,receiver_serial_number,receiver_manufacturer,latitude (degrees_north),longitude (degrees_east),time(UTC),recovery_datetime_utc (UTC),bottom_depth (m),depth (m),deployment_comments,deployment_project_reference,receiver_model,receiver_reference_id,datacenter_reference
ASF-2014 REST 1-VR2W-119977-2014,ManmadePlatform,119977,VEMCO,48.00285,-66.69775,2014-05-20T17:00:00Z,2014-09-09T21:05:00Z,2.1,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-2014 REST 1,OTN-Global
ASF-2014 REST 2-VR2W-111250-2014,ManmadePlatform,111250,VEMCO,48.00502,-66.69812,2014-05-20T17:05:00Z,2014-09-09T21:00:00Z,2.1,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-2014 REST 2,OTN-Global
ASF-2014 REST 3-VR2W-113161-2014,ManmadePlatform,113161,VEMCO,48.00667,-66.69842,2014-05-20T17:09:00Z,2014-09-09T20:55:00Z,2.7,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-2014 REST 3,OTN-Global
ASF-2014 REST 4-VR2W-120020-2014,ManmadePlatform,120020,VEMCO,48.01045,-66.67553,2014-05-20T17:29:00Z,2014-09-09T21:20:00Z,6.1,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-2014 REST 4,OTN-Global
ASF-2014 REST 5-VR2W-120021-2014,ManmadePlatform,120021,VEMCO,48.01168,-66.67657,2014-05-20T17:33:00Z,2014-09-16T16:00:00Z,5.5,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-2014 REST 5,OTN-Global
ASF-2014 REST 6-VR2W-120022-2014,ManmadePlatform,120022,VEMCO,48.01318,-66.67787,2014-05-20T17:38:00Z,2014-09-09T21:15:00Z,3.7,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-2014 REST 6,OTN-Global
ASF-Cassilis 2-VR2W-113155-2014,ManmadePlatform,113155,VEMCO,46.93493,-65.78328,2014-05-04T15:32:00Z,2014-10-08T21:45:00Z,2,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-Cassilis 2,OTN-Global
ASF-CB10-VR2W-109395-2014,ManmadePlatform,109395,VEMCO,47.87499,-65.26294,2014-05-29T21:44:00Z,2014-09-10T13:22:00Z,76.2,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB10,OTN-Global
ASF-CB11-VR2W-120012-2014,ManmadePlatform,120012,VEMCO,47.88125,-65.26898,2014-05-29T21:53:00Z,2014-09-10T16:30:00Z,73.15,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB11,OTN-Global
ASF-CB12-VR2W-120035-2014,ManmadePlatform,120035,VEMCO,47.88778,-65.27483,2014-05-29T22:01:00Z,2014-09-10T16:39:00Z,71.63,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB12,OTN-Global
ASF-CB13-VR2W-113157-2014,ManmadePlatform,113157,VEMCO,47.89413,-65.28072,2014-05-29T22:09:00Z,2014-09-10T16:48:00Z,73.15,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB13,OTN-Global
ASF-CB14-VR2W-120013-2014,ManmadePlatform,120013,VEMCO,47.90068,-65.2867,2014-05-29T22:16:00Z,2014-09-10T16:52:00Z,73.15,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB14,OTN-Global
ASF-CB15-VR2W-120029-2014,ManmadePlatform,120029,VEMCO,47.90709,-65.29259,2014-05-29T22:22:00Z,2014-09-10T16:59:00Z,73.15,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB15,OTN-Global
